Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:00:04
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:00:04
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:00:04
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:00:04
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:00:04
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:00:04
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:00:04
Mitakeumi,1.3,Tochiozan,3.52,2017-11-10 12:00:04
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:00:04
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:05:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:05:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:05:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:05:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:05:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:05:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:05:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:05:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:05:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:05:03
Mitakeumi,1.3,Tochiozan,3.52,2017-11-10 12:05:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:05:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:10:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:10:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:10:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:10:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:10:02
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:10:02
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:10:02
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:10:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:10:02
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:10:02
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:10:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:10:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:15:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:15:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:15:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:15:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:15:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:15:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:15:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:15:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:15:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:15:03
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:15:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:15:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:20:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:20:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:20:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:20:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:20:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:20:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:20:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:20:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:20:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:20:03
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:20:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:20:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:25:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:25:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:25:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:25:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:25:02
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:25:02
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:25:02
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:25:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:25:02
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:25:02
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:25:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:25:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:30:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:30:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:30:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:30:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:30:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:30:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:30:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:30:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:30:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:30:03
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:30:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:30:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:35:04
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:35:04
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:35:04
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:35:04
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:35:04
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:35:04
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:35:04
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:35:04
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:35:04
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:35:04
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:35:04
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:35:04
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:40:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:40:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:40:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:40:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:40:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:40:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:40:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:40:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:40:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:40:03
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:40:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:40:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:45:02
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:45:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:45:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:45:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:45:02
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:45:02
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:45:02
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:45:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:45:02
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:45:02
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:45:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:45:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:50:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:50:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:50:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:50:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:50:03
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:50:03
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:50:03
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:50:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:50:03
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:50:03
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:50:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:50:03
Daieisho,1.68,Kaisei,2.19,2017-11-10 12:55:04
Endo,1.68,Chiyomaru,2.19,2017-11-10 12:55:04
Goeido,1.5,Takakeisho,2.59,2017-11-10 12:55:04
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 12:55:04
Harumafuji,1.5,Onosho,2.59,2017-11-10 12:55:04
Ichinojo,1.8,Chiyonokuni,2.01,2017-11-10 12:55:04
Ikioi,1.58,Aoiyama,2.38,2017-11-10 12:55:04
Kagayaki,1.63,Takekaze,2.28,2017-11-10 12:55:04
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 12:55:04
Kotoyuki,1.8,Aminishiki,2.01,2017-11-10 12:55:04
Mitakeumi,1.4,Tochiozan,2.96,2017-11-10 12:55:04
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 12:55:04
Daieisho,1.68,Kaisei,2.19,2017-11-10 13:00:03
Endo,1.68,Chiyomaru,2.19,2017-11-10 13:00:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 13:00:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 13:00:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 13:00:03
