rikishi1,odds1,rikishi2,odds2,ts
Sokokurai,1.72,Asanoyama,2.12,2017-09-09 08:45:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 08:45:03
Tamawashi,1.81,Shohozan,2,2017-09-09 08:45:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 08:45:03
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 08:45:03
Yoshikaze,1.55,Chiyotairyu,2.45,2017-09-09 08:45:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 08:50:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 08:50:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 08:50:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 08:50:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 08:50:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 08:50:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 08:50:03
